id,fecha,id_departamento
1,2023-01-26,16
2,2023-01-26,16
3,2023-01-26,3
4,2023-01-17,16
5,2023-01-10,3
6,2023-01-06,16
7,2023-01-06,16
8,2023-02-23,22
9,2023-02-23,8
10,2023-02-17,22
11,2023-02-16,16
12,2023-02-15,16
13,2023-02-14,1
14,2023-02-10,5
15,2023-02-07,16
16,2023-02-03,16
17,2023-02-03,16
18,2023-02-03,16
19,2023-01-26,18
20,2023-03-24,16
21,2023-03-13,3
22,2023-03-09,23
23,2023-03-09,16
24,2023-03-07,1
25,2023-03-06,16
26,2023-03-06,5
27,2023-03-06,7
28,2023-03-03,8
29,2023-03-02,16
30,2023-02-28,4
31,2023-04-27,16
32,2023-04-14,1
33,2023-04-12,16
34,2023-04-10,23
35,2023-03-30,4
36,2023-05-26,24
37,2023-05-26,1
38,2023-05-25,1
39,2023-05-25,5
40,2023-05-19,16
41,2023-05-12,5
42,2023-05-11,16
43,2023-05-04,16
44,2023-05-04,9
45,2023-05-04,9
46,2023-04-27,16
47,2023-04-27,16
48,2023-04-27,16
49,2023-04-27,16
50,2023-04-27,16
51,2023-04-27,16
52,2023-04-27,16
53,2023-04-27,16
54,2023-04-27,16
55,2023-04-27,16
56,2023-06-28,23
57,2023-06-22,16
58,2023-06-21,15
59,2023-06-20,5
60,2023-06-16,4
61,2023-06-15,7
62,2023-06-09,16
63,2023-06-06,16
64,2023-06-06,1
65,2023-06-02,4
66,2023-06-01,20
67,2023-05-31,20
68,2023-07-14,7
69,2023-07-11,16
70,2023-07-11,16
71,2023-08-31,2
72,2023-08-23,1
73,2023-08-18,16
74,2023-08-03,3
75,2023-08-03,3
76,2023-08-03,3
77,2023-08-03,3
78,2023-08-03,3
79,2023-08-03,3
80,2023-08-03,3
81,2023-08-02,16
82,2023-08-02,24
83,2023-09-25,16
84,2023-09-22,22
85,2023-09-21,3
86,2023-09-19,16
87,2023-09-19,23
88,2023-09-08,16
89,2023-09-08,16
90,2023-09-08,16
91,2023-09-01,7
92,2023-09-01,7
93,2023-09-01,7
94,2023-09-01,7
95,2023-10-27,7
96,2023-10-27,7
97,2023-10-24,23
98,2023-10-23,1
99,2023-10-23,16
100,2023-10-18,20
101,2023-10-17,23
102,2023-10-17,20
103,2023-10-11,23
104,2023-10-11,11
105,2023-10-10,1
106,2023-11-24,7
107,2023-11-23,23
108,2023-11-22,23
109,2023-11-17,7
110,2023-11-17,16
111,2023-11-14,16
112,2023-11-09,3
113,2023-11-08,16
114,2023-11-08,9
115,2023-12-21,19
116,2023-12-13,16
117,2023-12-05,5
118,2023-12-05,5
