fecha,Edad,Valor,id_depa_sede,id_depa_procedencia,id_municipio_sede,id_municipio_procedencia,id_sede,id_tipo_delito,id_atencion,id_grupo_etnico,id_orientacion_sexual,id_atencion_vcm
2022-04-12,46,1,1,1,1,1,2,1,1,13,3,100
2021-06-08,43,1,1,9,1,11,2,1,1,13,5,101
2021-04-13,45,1,1,1,1,110,2,3,1,13,3,102
2021-01-20,45,1,1,20,1,9,2,1,1,13,5,103
2022-04-23,33,1,1,1,1,1,2,1,1,13,3,104
2022-09-12,32,1,4,1,22,1,6,1,1,13,3,105
2022-09-12,34,1,20,1,9,108,7,1,1,13,3,106
2020-12-08,55,1,4,1,22,1,6,3,1,13,3,107
2021-07-16,38,1,1,12,1,1507,2,3,1,13,3,108
2022-09-12,34,1,20,1,9,1,7,1,1,13,3,109
2021-09-27,43,1,1,1,1,1,2,1,1,13,5,110
2022-07-01,29,1,20,1,9,,7,4,1,13,3,111
2022-05-21,28,1,1,1,1,1,2,1,1,13,3,112
2020-12-09,28,1,4,19,22,704,6,4,1,13,3,113
2020-12-08,53,1,4,3,22,,6,4,1,13,3,114
2022-01-26,24,1,1,1,1,1,2,1,1,13,4,115
2022-02-28,21,1,1,1,1,1,2,1,1,13,3,116
2022-07-04,37,1,3,1,1601,105,1,1,1,13,5,117
2022-02-07,50,1,1,20,1,9,2,1,1,13,3,118
2021-11-16,43,1,1,1,1,115,2,1,1,13,3,119
2022-06-23,51,1,20,9,9,11,7,4,1,13,3,120
2021-04-05,45,1,1,1,1,115,2,4,1,13,3,121
2020-10-22,46,1,1,1,1,1,2,3,1,1,3,122
2022-04-23,29,1,1,1,1,108,2,1,1,13,3,123
2022-09-12,28,1,1,12,1,1501,2,3,1,13,3,124
2021-06-14,54,1,1,12,1,1501,2,4,1,1,3,125
2022-09-12,35,1,1,1,1,,2,1,1,13,5,126
2022-09-12,29,1,15,4,4,22,3,1,1,13,3,127
2022-09-12,30,1,20,12,9,1501,7,4,1,1,3,128
2021-05-24,40,1,1,1,1,102,2,1,1,13,5,129
2021-06-22,35,1,1,1,1,1,2,1,1,13,3,130
2021-05-24,47,1,1,1,1,1,2,1,1,1,3,131
2022-09-12,57,1,1,12,1,1502,2,1,1,1,3,132
2022-09-12,41,1,1,1,1,1,2,1,1,3,3,133
2022-09-12,34,1,1,3,1,1603,2,1,1,3,3,134
2021-05-16,22,1,1,1,1,114,2,3,1,13,3,135
2022-04-21,91,1,20,1,9,,7,1,1,6,3,136
2020-10-26,27,1,1,3,1,1609,2,3,1,1,3,137
2020-10-25,29,1,1,8,1,514,2,1,1,13,3,138
2020-10-15,40,1,1,2,1,8,2,1,1,13,5,139
