id,nombre
1,Ladino Y/O Mestizo
2,Maya
3,Maya - Achi
4,Maya - Akateko
5,Maya - Awakateko
6,Maya - K'Iche'
7,Maya - Kaqchikel
8,Maya - Mam
9,Maya - Poqomchi'
10,Maya - Q'Eqchi'
11,Maya - Tz'Utujil
12,Otro
13,Sd
14,Xinca
